ID,Collection_Date,Year,DissectionORsubsampling,Origin,Shell_Length_mm,Shell_Width_mm,Storage_method,Tissue_saved?,Empty_Tube_mg,Full_Tube_mg,Gill_Tissue_Weight_mg,Extracted,Quantified_via_qPCR,SamplingMethod,,,,,,,,,,,,,,
20,7/22/2017,2017,7/8/2019,Kalaloch,83,31,-80freezer,yes,1007.3,1049.1,41.8,yes,7/12/2019,moribund,,,,,,,,,,,,,,
21,7/22/2017,2017,7/8/2019,Kalaloch,84,36,-80freezer,yes,1007.3,1057.7,50.4,yes,7/12/2019,moribund,,,,,,,,,,,,,,
22,7/22/2017,2017,7/8/2019,Kalaloch,72,25,-80freezer,yes,1000.8,1024.2,23.4,yes,7/12/2019,moribund,,,,,,,,,,,,,,
23,7/22/2017,2017,7/8/2019,Kalaloch,91,40,-80freezer,yes,1006.1,1064,57.9,yes,7/12/2019,moribund,,,,,,,,,,,,,,
24,7/22/2017,2017,7/8/2019,Kalaloch,57,24,-80freezer,yes,1000.9,1043.7,42.8,yes,7/12/2019,moribund,,,,,,,,,,,,,,
25,7/22/2017,2017,7/8/2019,Kalaloch,53,19,-80freezer,yes,1007.2,1059.4,52.2,yes,7/12/2019,moribund,,,,,,,,,,,,,,
26,7/22/2017,2017,7/8/2019,Kalaloch,59,21,-80freezer,yes,1005.5,1045.5,40,yes,7/12/2019,moribund,,,,,,,,,,,,,,
27,7/22/2017,2017,7/8/2019,Kalaloch,57,21,-80freezer,yes,1011.3,1043.3,32,yes,7/12/2019,moribund,,,,,,,,,,,,,,
28,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,998.3,1029.8,31.5,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
29,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,999.9,1044.9,45,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
30,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1000.7,1052.8,52.1,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
31,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005.7,1034.4,28.7,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
32,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.4,1061.7,55.3,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
33,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1010.9,1047.5,36.6,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
34,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1009.2,1058.7,49.5,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
35,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1007.3,1030.9,23.6,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
36,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,995.8,1028,32.2,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
37,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.7,1032.2,25.5,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
38,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.3,1037.9,31.6,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
39,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1002,1044.7,42.7,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
40,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005.4,1060.1,54.7,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
41,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,999.2,1024.9,25.7,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
42,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1001.9,1033.5,31.6,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
43,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1001.8,1045.3,43.5,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
44,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1003.7,1043.7,40,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
45,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1010,1042.3,32.3,yes,7/12/2019,stock assessment,,,,,,,,,,,,,,
46,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1003.9,1033.3,29.4,yes,,stock assessment,,,,,,,,,,,,,,
47,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1015.1,1043,27.9,yes,,stock assessment,,,,,,,,,,,,,,
48,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.9,1042.8,35.9,yes,,stock assessment,,,,,,,,,,,,,,
49,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1003.6,1028.8,25.2,yes,,stock assessment,,,,,,,,,,,,,,
50,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1003.7,1030.9,27.2,yes,,stock assessment,,,,,,,,,,,,,,
51,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1002.2,1025.3,23.1,yes,,stock assessment,,,,,,,,,,,,,,
52,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005.2,1037.6,32.4,yes,,stock assessment,,,,,,,,,,,,,,
53,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1001,1048.6,47.6,yes,,stock assessment,,,,,,,,,,,,,,
54,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,998.9,1026.3,27.4,yes,,stock assessment,,,,,,,,,,,,,,
55,Jul-14,2014,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1002.5,1035.5,33,yes,,stock assessment,,,,,,,,,,,,,,
56,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1010.8,1044.8,34,yes,,stock assessment,,,,,,,,,,,,,,
57,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1009.6,1043.2,33.6,yes,,stock assessment,,,,,,,,,,,,,,
58,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1009.2,1038.6,29.4,yes,,stock assessment,,,,,,,,,,,,,,
59,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.2,1031.7,25.5,yes,,stock assessment,,,,,,,,,,,,,,
60,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.2,1032.7,26.5,yes,,stock assessment,,,,,,,,,,,,,,
61,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1010.4,1040.1,29.7,yes,,stock assessment,,,,,,,,,,,,,,
62,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1008.1,1040.2,32.1,yes,,stock assessment,,,,,,,,,,,,,,
63,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1007.4,1046.1,38.7,yes,,stock assessment,,,,,,,,,,,,,,
64,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.1,1037.8,31.7,yes,,stock assessment,,,,,,,,,,,,,,
65,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1003.3,1029.8,26.5,yes,,stock assessment,,,,,,,,,,,,,,
66,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1002.2,1034.7,32.5,yes,,stock assessment,,,,,,,,,,,,,,
67,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1002.5,1036.8,34.3,yes,,stock assessment,,,,,,,,,,,,,,
68,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1016.8,1042.5,25.7,yes,,stock assessment,,,,,,,,,,,,,,
69,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1009.6,1040.7,31.1,yes,,stock assessment,,,,,,,,,,,,,,
70,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1013.4,1044.7,31.3,yes,,stock assessment,,,,,,,,,,,,,,
71,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1011.8,1066,54.2,yes,,stock assessment,,,,,,,,,,,,,,
72,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1004.5,1039.1,34.6,yes,,stock assessment,,,,,,,,,,,,,,
73,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005.3,1066.6,61.3,yes,,stock assessment,,,,,,,,,,,,,,
74,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005.5,1058.7,53.2,yes,,stock assessment,,,,,,,,,,,,,,
75,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,998.6,1052,53.4,yes,,stock assessment,,,,,,,,,,,,,,
76,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1001.2,1034.3,33.1,yes,,stock assessment,,,,,,,,,,,,,,
77,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1021.2,1056.6,35.4,yes,,stock assessment,,,,,,,,,,,,,,
78,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1006.7,1038.2,31.5,yes,,stock assessment,,,,,,,,,,,,,,
79,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,997.9,1046.9,49,yes,,stock assessment,,,,,,,,,,,,,,
80,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1004.6,1033.5,28.9,yes,,stock assessment,,,,,,,,,,,,,,
81,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1010.8,1041.4,30.6,yes,,stock assessment,,,,,,,,,,,,,,
82,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1008.9,1050,41.1,yes,,stock assessment,,,,,,,,,,,,,,
83,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1005,1041.6,36.6,yes,,stock assessment,,,,,,,,,,,,,,
84,9/28/2015,2015,7/8/2019,Kalaloch,UNK,,-80freezer,yes,1001,1033.4,32.4,yes,,stock assessment,,,,,,,,,,,,,,
85,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1003,1038.6,35.6,yes,,stock assessment,,,,,,,,,,,,,,
86,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1014.9,1051.2,36.3,yes,,stock assessment,,,,,,,,,,,,,,
87,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.8,1035.6,28.8,yes,,stock assessment,,,,,,,,,,,,,,
88,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1009,1044.7,35.7,yes,,stock assessment,,,,,,,,,,,,,,
89,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005,1033.9,28.9,yes,,stock assessment,,,,,,,,,,,,,,
90,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.1,1058.3,52.2,yes,,stock assessment,,,,,,,,,,,,,,
91,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.3,1045.5,39.2,yes,,stock assessment,,,,,,,,,,,,,,
92,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1009.7,1041.2,31.5,yes,,stock assessment,,,,,,,,,,,,,,
93,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.9,1058.7,51.8,yes,,stock assessment,,,,,,,,,,,,,,
94,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.2,1069.1,62.9,yes,,stock assessment,,,,,,,,,,,,,,
95,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.2,1052.4,51.2,yes,,stock assessment,,,,,,,,,,,,,,
96,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1007,1047.5,40.5,yes,,stock assessment,,,,,,,,,,,,,,
97,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.3,1055.5,53.2,yes,,stock assessment,,,,,,,,,,,,,,
98,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.9,1068.3,66.4,yes,,stock assessment,,,,,,,,,,,,,,
99,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,999,1056.9,57.9,yes,,stock assessment,,,,,,,,,,,,,,
100,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004,1056.6,52.6,yes,,stock assessment,,,,,,,,,,,,,,
101,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1000.9,1051.7,50.8,yes,,stock assessment,,,,,,,,,,,,,,
102,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005.6,1058.8,53.2,yes,,stock assessment,,,,,,,,,,,,,,
103,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.9,1052.8,47.9,yes,,stock assessment,,,,,,,,,,,,,,
104,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.1,1060.3,56.2,yes,,stock assessment,,,,,,,,,,,,,,
105,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.6,1062.9,61.3,yes,,stock assessment,,,,,,,,,,,,,,
106,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1000.8,1053,52.2,yes,,stock assessment,,,,,,,,,,,,,,
107,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,998.7,1046.8,48.1,yes,,stock assessment,,,,,,,,,,,,,,
108,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1000.4,1044.2,43.8,yes,,stock assessment,,,,,,,,,,,,,,
109,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.2,1026.1,23.9,yes,,stock assessment,,,,,,,,,,,,,,
110,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1010.7,1045.5,34.8,yes,,stock assessment,,,,,,,,,,,,,,
111,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.4,1029.4,28,yes,,stock assessment,,,,,,,,,,,,,,
112,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1007.3,1041.7,34.4,yes,,stock assessment,,,,,,,,,,,,,,
113,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,996.7,1033.9,37.2,yes,,stock assessment,,,,,,,,,,,,,,
114,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1011.8,1040.1,28.3,yes,,stock assessment,,,,,,,,,,,,,,
115,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005,1042.9,37.9,yes,,stock assessment,,,,,,,,,,,,,,
116,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1011.3,1036.7,25.4,yes,,stock assessment,,,,,,,,,,,,,,
117,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1008.6,1065.2,56.6,yes,,stock assessment,,,,,,,,,,,,,,
118,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006,1071,65,yes,,stock assessment,,,,,,,,,,,,,,
119,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1003.8,1056.6,52.8,yes,,stock assessment,,,,,,,,,,,,,,
120,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,998.9,1044.4,45.5,yes,,stock assessment,,,,,,,,,,,,,,
121,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1016.3,1055.6,39.3,yes,,stock assessment,,,,,,,,,,,,,,
122,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.3,1064.9,60.6,yes,,stock assessment,,,,,,,,,,,,,,
123,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.5,1060.1,55.6,yes,,stock assessment,,,,,,,,,,,,,,
124,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.1,1030.9,29.8,yes,,stock assessment,,,,,,,,,,,,,,
125,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005.1,1034.3,29.2,yes,,stock assessment,,,,,,,,,,,,,,
126,6/29/2018,2018,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001,1029.1,28.1,yes,,stock assessment,,,,,,,,,,,,,,
127,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.5,1033.8,31.3,yes,,stock assessment,,,,,,,,,,,,,,
128,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1007.4,1044,36.6,yes,,stock assessment,,,,,,,,,,,,,,
129,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1008.6,1045.2,36.6,yes,,stock assessment,,,,,,,,,,,,,,
130,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.4,1039.5,33.1,yes,,stock assessment,,,,,,,,,,,,,,
131,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.8,1030.7,27.9,yes,,stock assessment,,,,,,,,,,,,,,
132,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005.9,1030.5,24.6,yes,,stock assessment,,,,,,,,,,,,,,
133,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.6,1047.4,42.8,yes,,stock assessment,,,,,,,,,,,,,,
134,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1013.2,1043.5,30.3,yes,,stock assessment,,,,,,,,,,,,,,
135,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.3,1028.1,25.8,yes,,stock assessment,,,,,,,,,,,,,,
136,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1017,1050.5,33.5,yes,,stock assessment,,,,,,,,,,,,,,
137,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005.2,1031.2,26,yes,,stock assessment,,,,,,,,,,,,,,
138,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.7,1035.7,33,yes,,stock assessment,,,,,,,,,,,,,,
139,3/30/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.2,1028.8,26.6,yes,,stock assessment,,,,,,,,,,,,,,
140,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.2,1024,22.8,yes,,stock assessment,,,,,,,,,,,,,,
141,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.4,1029.4,23,yes,,stock assessment,,,,,,,,,,,,,,
142,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.2,1043.4,42.2,yes,,stock assessment,,,,,,,,,,,,,,
143,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.8,1045.4,40.6,yes,,stock assessment,,,,,,,,,,,,,,
144,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.7,1045.9,43.2,yes,,stock assessment,,,,,,,,,,,,,,
145,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1004.6,1037.7,33.1,yes,,stock assessment,,,,,,,,,,,,,,
146,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1006.2,1036.4,30.2,yes,,stock assessment,,,,,,,,,,,,,,
147,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1001.8,1028.4,26.6,yes,,stock assessment,,,,,,,,,,,,,,
148,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1005.3,1037.2,31.9,yes,,stock assessment,,,,,,,,,,,,,,
149,4/24/2005,2005,7/9/2019,Kalaloch,UNK,,-80freezer,yes,1002.7,1025.4,22.7,yes,,stock assessment,,,,,,,,,,,,,,
150,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1001.2,1032.8,31.6,yes,,stock assessment,,,,,,,,,,,,,,
151,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1005.1,1037.1,32,yes,,stock assessment,,,,,,,,,,,,,,
152,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1006.3,1030.5,24.2,yes,,stock assessment,,,,,,,,,,,,,,
153,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1000.4,1029.5,29.1,yes,,stock assessment,,,,,,,,,,,,,,
154,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1001,1034.5,33.5,yes,,stock assessment,,,,,,,,,,,,,,
155,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,998.4,1030.3,31.9,yes,,stock assessment,,,,,,,,,,,,,,
156,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1006.4,1037.1,30.7,yes,,stock assessment,,,,,,,,,,,,,,
157,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1000.5,1025.5,25,yes,,stock assessment,,,,,,,,,,,,,,
158,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,996.3,1024.7,28.4,yes,,stock assessment,,,,,,,,,,,,,,
159,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1003.8,1040.5,36.7,yes,,stock assessment,,,,,,,,,,,,,,
160,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,998.5,1026.3,27.8,yes,,stock assessment,,,,,,,,,,,,,,
161,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1012.9,1045.7,32.8,yes,,stock assessment,,,,,,,,,,,,,,
162,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1004.6,1044.9,40.3,yes,,stock assessment,,,,,,,,,,,,,,
163,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1008.3,1039.9,31.6,yes,,stock assessment,,,,,,,,,,,,,,
164,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1011.9,1044,32.1,,,stock assessment,,,,,,,,,,,,,,
165,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1005.2,1038.6,33.4,,,stock assessment,,,,,,,,,,,,,,
166,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,996,1034.8,38.8,,,stock assessment,,,,,,,,,,,,,,
167,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1012.7,1040.1,27.4,,,stock assessment,,,,,,,,,,,,,,
168,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1012.2,1037.3,25.1,,,stock assessment,,,,,,,,,,,,,,
169,2003,2003,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1005.8,1031.8,26,,,stock assessment,,,,,,,,,,,,,,
170,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1000.6,1041.7,41.1,,,stock assessment,,,,,,,,,,,,,,
171,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1002.5,1029.3,26.8,,,stock assessment,,,,,,,,,,,,,,
172,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1004.7,1032.2,27.5,,,stock assessment,,,,,,,,,,,,,,
173,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1007.4,1044.9,37.5,,,stock assessment,,,,,,,,,,,,,,
174,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1004.9,1044.2,39.3,,,stock assessment,,,,,,,,,,,,,,
175,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1002.7,1039.7,37,,,stock assessment,,,,,,,,,,,,,,
176,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1006.9,1056,49.1,,,stock assessment,,,,,,,,,,,,,,
177,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1006.2,1051.1,44.9,,,stock assessment,,,,,,,,,,,,,,
178,2013,2013,7/10/2019,Kalaloch,UNK,,-80freezer,yes,1001.1,1025.4,24.3,,,stock assessment,,,,,,,,,,,,,,
